7,17,9,11,34,10,22,32
18,14,13,21,3,30,12,24
27,16,4,1,25,23,5,2
20,29,19,6,31,26,15,8
22,28,18,12,10,13,32,33
2,30,27,21,24,1,34,17
5,8,19,7,26,9,3,6
33,11,31,15,14,23,25,16
28,20,13,1,17,29,12,4
24,18,10,9,2,6,27,32
19,21,15,25,7,22,14,30
34,3,4,28,31,26,16,29
33,5,20,12,23,18,11,8
2,9,15,14,13,6,17,27
25,31,22,24,16,19,26,7
21,28,10,4,1,5,34,20
32,11,29,3,23,30,33,8
17,16,2,18,26,22,7,13
5,6,4,15,21,12,24,34
8,3,27,25,20,28,9,29
32,1,23,30,14,19,31,10
24,13,6,33,26,2,11,34
22,27,16,12,3,4,8,20
9,32,23,19,1,31,21,18
25,17,7,28,10,5,30,11
29,8,14,34,15,16,13,33
9,4,31,2,22,20,21,23
10,3,26,30,12,32,1,25
11,29,6,24,27,14,5,19
18,15,17,31,33,7,2,28
1,8,22,10,13,23,3,4
11,25,12,19,16,34,24,9
20,7,14,32,6,33,21,17
5,18,28,26,30,15,29,27
11,2,8,13,4,10,25,31
6,1,34,14,19,33,9,22
16,21,3,5,30,17,18,20
7,27,24,23,28,15,32,26
29,25,33,22,12,9,10,2
34,31,30,13,18,4,19,5
14,26,1,3,17,27,28,11
6,12,8,16,23,21,7,29
32,20,5,31,15,24,2,22
4,33,26,27,13,19,17,3
29,7,18,10,21,11,1,9
12,34,23,15,30,25,20,6
8,32,16,17,4,24,28,14
19,2,29,1,3,22,11,5
15,10,20,23,27,34,33,18
28,14,30,16,31,12,6,7
9,13,25,26,8,24,32,21
