50,94,54,47,78,40
39,91,52,79,85,32
77,57,4,95,8,35
59,72,58,41,53,27
55,9,31,65,71,15
69,46,74,18,43,26
28,97,42,21,10,12
33,90,60,76,1,38
81,62,75,30,89,5
66,23,34,61,84,96
2,17,67,16,70,92
64,24,51,80,25,36
49,82,45,83,7,98
88,56,13,68,3,6
63,22,19,87,48,14
29,37,11,93,20,73
86,53,9,52,31,44
35,59,18,91,50,71
1,65,72,47,10,46
32,33,28,57,40,43
75,15,4,42,76,58
78,38,61,26,89,77
36,54,5,8,70,97
41,51,94,84,74,24
85,6,27,96,30,17
7,63,14,23,62,13
90,39,29,25,69,19
93,34,44,98,92,80
21,86,66,79,22,11
20,55,67,56,95,83
87,60,2,3,82,73
88,48,81,45,64,12
76,49,16,68,37,91
65,35,26,33,15,59
38,74,53,70,42,84
6,5,50,43,9,10
94,58,32,14,31,62
7,41,97,40,90,18
36,78,17,93,96,57
8,1,29,63,66,24
85,86,13,67,77,25
4,54,52,2,80,3
69,23,95,87,81,21
51,44,12,72,83,68
48,79,75,60,49,20
56,22,45,16,61,39
71,64,28,30,73,92
34,19,47,37,89,88
55,27,11,46,82,98
97,90,93,6,59,84
32,76,17,35,10,63
26,36,9,67,29,40
33,2,42,78,91,86
18,3,70,81,31,96
5,1,80,74,7,95
4,20,50,51,14,21
83,65,61,85,48,62
75,73,69,13,72,16
68,19,79,58,24,34
64,98,94,52,56,8
15,45,57,25,11,89
54,87,77,53,60,92
46,39,23,37,41,38
30,12,55,43,47,66
71,88,44,27,49,28
1,26,22,80,97,82
90,3,36,50,95,32
61,85,7,93,21,2
10,74,33,29,4,48
20,65,18,17,13,19
83,63,78,70,34,64
15,84,14,45,67,73
59,8,69,76,31,89
92,81,39,94,46,9
41,75,66,57,87,56
88,43,68,60,42,98
24,11,30,22,44,54
51,47,82,71,86,6
37,79,53,62,25,55
23,28,16,35,5,72
52,96,77,58,12,49
40,91,20,80,27,38
3,32,34,97,29,15
84,36,89,48,2,1
9,70,76,7,19,64
17,26,21,39,13,83
98,81,14,78,85,41
11,87,43,67,8,90
46,75,95,31,61,33
53,30,88,50,24,69
37,35,54,51,45,79
44,96,56,5,60,47
16,71,58,63,42,40
12,25,68,38,93,22
62,73,10,52,18,49
59,94,82,28,77,66
92,72,91,6,4,55
57,86,27,74,23,65
2,9,8,32,41,13
85,98,84,36,20,87
50,64,39,11,33,97
79,35,31,30,7,78
14,70,37,3,75,24
81,43,51,34,26,56
89,40,71,90,17,22
49,68,21,15,47,53
38,73,96,10,54,59
66,80,48,46,58,6
16,94,45,55,93,86
60,52,63,74,61,72
82,44,95,91,29,23
19,92,12,62,27,1
76,18,67,57,88,5
25,28,83,69,65,4
77,20,35,42,39,24
89,98,70,13,71,79
64,43,3,17,75,53
10,11,26,31,2,68
73,6,22,34,41,36
38,56,15,86,50,7
72,40,49,61,66,81
78,21,52,48,55,90
60,12,80,9,37,33
82,57,85,19,5,51
4,87,59,94,44,1
58,25,8,23,88,92
42,46,91,62,67,69
84,30,29,18,16,77
63,95,65,96,45,97
14,47,93,27,76,83
74,28,6,54,32,75
64,53,10,15,13,40
73,50,98,39,26,86
66,68,33,36,7,52
11,19,3,12,38,71
70,80,87,55,61,57
31,1,23,49,51,85
41,92,43,35,21,89
94,67,48,72,34,30
96,24,62,56,4,90
29,79,46,2,59,88
8,14,42,81,93,65
45,27,78,32,69,60
5,83,91,84,22,58
17,97,44,77,74,76
20,16,25,54,9,82
95,37,47,28,63,18
12,50,31,73,80,23
53,35,70,11,66,85
26,15,41,19,52,30
86,67,1,96,68,64
40,55,51,75,88,39
89,6,49,65,94,29
13,90,61,92,42,36
34,57,10,91,14,60
8,84,7,44,46,3
24,83,16,59,32,81
47,2,74,58,45,20
87,62,38,9,17,28
27,18,56,21,33,54
43,93,63,79,82,4
98,69,37,48,77,5
97,76,72,25,71,78
22,85,15,88,95,94
92,29,96,75,11,50
26,66,90,91,64,65
86,36,19,49,55,35
73,83,57,1,53,46
68,59,30,45,23,70
67,58,60,28,51,7
20,33,41,44,16,62
14,12,79,56,84,17
82,69,61,10,8,37
80,89,32,72,18,42
4,13,47,97,38,31
39,48,93,95,54,43
22,3,9,98,78,74
5,81,25,27,63,2
24,52,76,6,40,87
77,21,45,71,34,75
83,36,11,23,60,94
7,16,88,53,96,26
70,28,46,90,15,20
61,17,50,1,68,41
65,32,84,82,92,37
44,38,35,69,14,64
54,58,55,89,10,85
47,72,73,33,79,8
13,78,80,43,39,59
24,97,48,9,91,27
66,62,2,95,51,76
31,6,67,21,98,63
42,30,25,3,49,87
22,52,71,29,57,81
18,5,34,12,4,86
40,77,93,19,56,74
