6,7,24,18,8,13
33,28,30,16,19,5
26,29,9,4,31,10
32,34,3,14,27,22
17,23,25,21,15,1
2,10,20,11,18,12
32,16,8,26,31,34
30,6,19,17,4,14
25,27,29,2,13,28
23,1,3,9,24,11
21,22,33,20,7,15
12,13,27,5,17,8
24,28,18,30,34,9
11,14,26,15,33,29
7,16,2,4,20,23
12,10,19,3,21,25
31,32,22,1,5,6
27,15,18,16,24,4
23,8,12,29,19,14
31,11,7,28,32,17
13,1,26,3,30,20
25,2,5,6,9,21
34,22,17,10,33,23
1,18,7,19,26,27
15,30,32,9,12,2
34,21,16,29,6,11
14,20,24,28,5,10
33,25,4,8,3,31
19,9,13,22,11,16
27,23,6,10,26,30
5,3,15,7,29,34
13,14,31,18,2,21
20,17,33,24,25,32
8,4,28,22,12,1
